time,open,high,low,close,Volume,Futures Open Interest,Crypto Open Interest (열기),Crypto Open Interest (고가,Crypto Open Interest (저가),Crypto Open Interest (닫기),Funding Rate
1762338600,101754.2,101800,101518,101648,594.3,,83431.104,83451.937,83417.131,83450.488,0.0036609999999999998
1762339500,101648,101651.6,101250,101352.5,1249.092,,83456.517,83456.517,83340.721,83342.468,0.003492
1762340400,101352.6,101667.4,101338,101506,1045.524,,83338.154,83466.365,83320.955,83466.365,0.003879
1762341300,101506.1,101735.1,101429.7,101554.5,1359.905,,83544.52,83807.022,83529.558,83741.635,0.0037710000000000005
1762342200,101554.5,101800,101530,101696.2,647.834,,83741.464,83742.491,83701.964,83702.54,0.003891
1762343100,101696.2,102060.4,101690,102019.4,1367.754,,83700.672,83811.493,83584.76,83811.493,0.00396
1762344000,102019.3,102056,101867.8,101985.3,825.42,,83815.021,83868.257,83815.021,83855.253,0.004008
1762344900,101985.4,102853.2,101954,102466.7,5580.07,,83887.072,84692.893,83887.072,84374.042,0.004597
1762345800,102466.7,102678.7,102237.6,102664.1,1663.447,,84368.873,84611.307,84368.873,84598.719,0.004555
1762346700,102664.1,102681.4,102420.9,102622.7,1277.734,,84596.51,84605.816,84475.35,84605.816,0.004426
1762347600,102622.6,102719.7,102430,102443.6,985.87,,84607.585,84618.285,84533.443,84533.443,0.004021
1762348500,102443.6,102545.6,102240.7,102471.7,1387.454,,84543.264,84576.32,84445.922,84576.32,0.003947
1762349400,102471.7,102940.1,102306.2,102779.9,1520.148,,84575.812,84697.543,84575.265,84697.543,0.0042639999999999996
1762350300,102780,103207,102721.2,102926.1,3467.84,,84700.093,84735.267,84610.564,84610.564,0.004084
1762351200,102926.2,102973.5,102558.2,102594.7,1658.091,,84611.446,84611.446,84466.359,84478.457,0.0035710000000000004
1762352100,102594.7,102737.4,102439.8,102611.5,1356.56,,84472.049,84541.181,84472.049,84526.117,0.003359
1762353000,102611.6,103338.1,102120,102934.4,4705.211,,84529.042,84581.316,84373.404,84376.656,0.00343
1762353900,102930.2,103440,102789.4,103162.6,2826.317,,84374.797,84374.797,84164.026,84353.61,0.0033680000000000003
1762354800,103162.6,103392.8,102777,102960.1,2262.838,,84360.513,84382.543,84275.13,84370.536,0.003323
1762355700,102960.1,103439.7,102870.4,103312.1,1547.133,,84371.74,84448.232,84371.74,84414.134,0.0034279999999999996
1762356600,103312.1,103750,103204,103503,2791.651,,84414.69,84587.646,84399.189,84472.05,0.003243
1762357500,103503,103746.6,103459.7,103668.3,1462.813,,84498.392,84629.261,84498.392,84629.261,0.0028640000000000002
1762358400,103668.2,103790,103225.2,103265.9,2042.614,,84628.535,84846.832,84628.535,84779.744,0.0022229999999999997
1762359300,103265.9,103504,102972.8,103459.2,2160.969,,84773.188,84864.467,84749.7,84763.625,0.001992
1762360200,103459.2,103750,103430.4,103546.8,1535.929,,84762.583,84805.069,84707.79,84707.79,0.00183
1762361100,103546.7,103990.3,103532.4,103865,2178.495,,84699.24,84804.597,84681.679,84804.597,0.001552
1762362000,103865.1,103873.3,103326.7,103426.9,1599.261,,84802.857,84810.387,84730.668,84766.31,0.000866
1762362900,103426.9,103953.9,103388,103850.1,1347.279,,84770.278,84892.079,84769.373,84892.079,0.0007880000000000001
1762363800,103850,103950.8,103692,103868.9,1003.154,,84891.105,84920.628,84886.231,84907.864,0.000271
1762364700,103868.9,103884.2,103452.5,103850.6,1166.463,,84907.485,84963.106,84880.71,84963.106,0.000089
1762365600,103850.6,103928,103700,103890,740.577,,84960.205,84960.205,84884.036,84888.02,-0.000326
1762366500,103889.9,104100,103850,104063.9,1547.999,,84886.748,84918.647,84843.813,84918.647,-0.000638
1762367400,104063.9,104235.4,103961.3,104130.1,1547.703,,84920.788,85131.743,84915.429,85039.07,-0.0010869999999999999
1762368300,104130,104383.6,104053.6,104292.8,1520.685,,85031.776,85035.54,84909.569,84931.299,-0.001246
1762369200,104292.9,104300.1,104020.6,104107.6,1015.989,,84930.993,84942.92,84857.064,84882.981,-0.001607
1762370100,104107.5,104496.6,104107.5,104150,1173.045,,84883.498,84883.498,84836.45,84866.076,-0.001643
1762371000,104150,104412.1,104139,104265.4,681.678,,84855.409,84867.114,84807.903,84819.153,-0.001569
1762371900,104265.3,104277.6,103926.1,103950,1006.849,,84817.356,84822.691,84730.11,84751.697,-0.0017479999999999998
1762372800,103950,104497.6,103874.8,104466.7,1498.014,,84757.252,84757.252,84505.739,84505.739,-0.0016439999999999998
1762373700,104466.8,104483.7,103945,103956.7,826.096,,84508.782,84508.782,84420.674,84422.063,-0.001675
1762374600,103956.7,103968.6,103683.2,103854.5,1206.503,,84406.505,84406.505,84266.025,84269.693,-0.001547
1762375500,103854.5,103948,103566.3,103788,1203.183,,84266.902,84266.902,84040.83,84040.83,-0.001209
1762376400,103788,103788.1,103555,103587.7,1069.008,,84009.934,84012.69,83834.624,83838.245,-0.0007869999999999999
1762377300,103587.6,103775.5,103450.7,103533,1078.861,,83827.842,83868.689,83735.733,83807.917,-0.000247
1762378200,103533,103688.6,103511.9,103572,490.247,,83809.995,83826.101,83809.197,83814.099,0.00014199999999999998
1762379100,103572,103728.9,103528.1,103626,510.299,,83813.512,83830.373,83786.743,83786.743,0.0005380000000000001
1762380000,103625.9,103626,103240.5,103270.2,987.635,,83785.32,83789.265,83653.257,83657.147,0.000865
1762380900,103270.2,103434.2,103260.1,103318.7,525.751,,83644.63,83648.611,83603.884,83603.884,0.001796
1762381800,103318.7,103641.3,103278,103521.7,535.309,,83603.228,83603.228,83569.382,83572.997,0.002545
1762382700,103521.7,103750,103456.3,103671.9,502.238,,83573.488,83573.493,83519.436,83560.771,0.002846
1762383600,103671.8,103838.1,103620,103734,631.055,,83562.633,83701.596,83562.633,83701.596,0.0032159999999999997
1762384500,103733.9,103958,103733.9,103903.3,738.148,,83779.482,83810.09,83767.927,83810.09,0.003573
1762385400,103903.2,104062.9,103808.9,104045.9,605.329,,83815.918,83861.593,83815.918,83826.491,0.0038510000000000003
1762386300,104045.9,104045.9,103800,103837,534.124,,83827.173,83891.881,83819.869,83884.396,0.004014
1762387200,103837,103840.7,103396.9,103700,1484.736,,83884.311,83921.483,83728.602,83753.167,0.003922
1762388100,103700.1,103723.2,103264.6,103386.5,1008.838,,83752.742,83757.83,83716.749,83736.483,0.003701
1762389000,103386.5,103483.8,103282.1,103374,580.442,,83738.557,83746.591,83703.108,83736.628,0.003902
1762389900,103374,103649.5,103370,103631.5,518.055,,83736.552,83802.995,83736.552,83790.345,0.004253
1762390800,103631.5,103631.5,103068.7,103168.6,1431.411,,83791.557,83837.066,83725.497,83808.105,0.004096
1762391700,103168.6,103240.6,102684.7,102800,3153.627,,83803.335,83803.335,83275.036,83275.036,0.004296
1762392600,102800.1,103392.9,102771.8,103289.1,1452.575,,83258.017,83258.017,83047.481,83096.658,0.005216
1762393500,103289.2,103500,103281.7,103315.4,655.346,,83094.261,83094.261,83060.05,83085.484,0.005615
1762394400,103315.4,103383.3,102871.4,102896.8,945.826,,83085.933,83157.703,83078.884,83157.703,0.0055260000000000005
1762395300,102896.8,103117.1,102800.3,102855.7,1077.691,,83150.914,83150.914,82967.639,82967.639,0.005816
1762396200,102855.8,103420,102835.8,103283.5,1019.726,,82963.963,83029.042,82963.963,83003.06,0.006776
1762397100,103283.6,103537.9,103271.2,103278.2,963.808,,83007.932,83053.85,82980.692,83053.85,0.007289
1762398000,103278.1,103537.7,103278.1,103515.5,761.156,,83058.243,83088.344,83056.391,83088.344,0.007579000000000001
1762398900,103515.5,103919.7,103501.9,103562,1647.082,,83078.77,83107.238,83046.051,83064.256,0.007895
1762399800,103561.9,103738.6,103551.8,103605.2,596.723,,83063.476,83103.88,83042.012,83103.88,0.007957
1762400700,103605.1,103679.7,103557,103598.3,473.827,,83106.791,83116.95,83078.628,83079.47,0.007737999999999999
1762401600,103598.3,103803,103534,103763.2,690.808,,83079.02,83079.02,82980.386,82995.063,0.00786
1762402500,103763.2,103789.8,103681,103720.1,444.864,,82995.222,83014.422,82984.76,82993.407,0.007961000000000001
1762403400,103720.1,103839.1,103645,103826.3,476.105,,82994.755,83039.954,82983.15,83022.25,0.008277
1762404300,103826.2,104210.2,103812.6,103987.5,1814.096,,83002.769,83002.769,82630.66,82630.66,0.008543
1762405200,103987.5,103987.5,103370.2,103468.3,1170.014,,82639.192,82641.783,82496.162,82543.091,0.008376
1762406100,103468.4,103632.5,103333,103455.8,787.183,,82544.646,82582.322,82538.596,82572.347,0.008475
1762407000,103455.8,103497.9,103029.4,103219.3,1067.591,,82571.713,82573.562,82497.249,82526.265,0.008331
1762407900,103219.2,103292.7,103050,103103.5,742.32,,82524.654,82554.831,82513.616,82542.305,0.00831
1762408800,103103.5,103231.1,102938,103217.3,873.063,,82542.553,82543.715,82490.21,82505.244,0.008412
1762409700,103217.3,103481.9,103217.2,103467.6,780.134,,82504.562,82555.721,82502.55,82555.721,0.008634000000000001
1762410600,103467.5,103560.6,103199.9,103332.6,605.039,,82550.545,82579.581,82544.286,82573.354,0.008877000000000001
1762411500,103332.5,103425,103264.5,103268.7,403.968,,82571.53,82576.632,82562.148,82572.282,0.008976
1762412400,103268.8,103500,103161.3,103261.6,586.087,,82572.84,82581.11,82543.529,82551.707,0.008873
1762413300,103261.6,103542.3,102850.1,103399.9,1539.535,,82564.309,82566.741,82476.449,82496.199,0.008496
1762414200,103400,103460,102968,103140.7,1049.178,,82497.394,82523.892,82464.467,82520.906,0.008101
1762415100,103140.6,103227.4,102900,103138.6,683.386,,82521.885,82525.052,82508.196,82514.484,0.007939
1762416000,103138.6,103242.9,102929.2,103242.9,583.191,,82513.264,82527.786,82505.91,82527.786,0.008234
1762416900,103242.9,103406,103219.7,103300.4,669.344,,82522.014,82528.098,82444.694,82445.632,0.008482
1762417800,103300.4,103348.5,103133.3,103146.2,326.141,,82450.78,82467.838,82450.174,82465.68,0.008594
1762418700,103146.1,103257.3,103050,103161.2,568.597,,82464.874,82496.742,82430.827,82493.76,0.008572
1762419600,103161.3,103226.2,102811.1,103073.4,1350.259,,82493.589,82496.417,82356.59,82356.59,0.007563
1762420500,103073.5,103122.7,102904.8,102915.9,618.324,,82356.244,82397.021,82353.439,82361.216,0.006515
1762421400,102915.9,103059.7,102888,102943.9,396.413,,82365.192,82381.945,82361.392,82372.725,0.006227
1762422300,102944,103045.5,102766.3,102766.3,709.457,,82372.84,82381.424,82355.922,82374.11,0.006273000000000001
1762423200,102766.4,102913.6,102611.5,102828.8,1650.008,,82380.204,82388.2,82276.512,82305.95,0.006359000000000001
1762424100,102828.8,103061.3,102813.7,102987.4,724.243,,82309.7,82324.977,82266.772,82285.221,0.006817000000000001
1762425000,102987.3,103250,102975.9,103070,1284.076,,82286.443,82378.367,82276.486,82294.119,0.007253
1762425900,103070,103183.2,102968.8,103090,594.815,,82294.736,82348.699,82293.685,82348.551,0.007318
1762426800,103089.9,103090,102689.9,102831.5,1486.209,,82350.015,82698.526,82341.972,82686.943,0.006914000000000001
1762427700,102831.5,103135.5,102777,103100.1,636.997,,82688.502,82721.793,82670.545,82721.793,0.006604
1762428600,103100,103270,103035.1,103129.4,758.946,,82730.056,82747.529,82697.037,82746.93,0.006577
1762429500,103129.3,103234.6,103090,103182.6,367.765,,82743.036,82773.07,82739.506,82771.449,0.006536
1762430400,103182.6,103287.7,102924.4,102969,891.74,,82776.163,82776.793,82741.452,82761.288,0.006268999999999999
1762431300,102969,102977,102740,102756.7,1497.051,,82748.934,82808.834,82695.24,82800.295,0.005861
1762432200,102756.7,102961.2,102386.1,102400.1,3265.013,,82801.616,83274.448,82800.901,82883.099,0.005129
1762433100,102400.1,102619.6,102329,102507.1,1716.271,,82882.822,82939.656,82847.002,82937.663,0.004664
1762434000,102507.1,102901.2,102507.1,102849,1031.384,,82928.709,83010.927,82928.709,82968.35,0.004568
1762434900,102848.9,103585,102814.4,103447.8,2853.707,,82970.187,82973.181,82697.373,82697.373,0.004663
1762435800,103447.9,103540.4,103090.7,103251.2,1267.751,,82700.961,82700.961,82628.007,82652.856,0.004296
1762436700,103251.2,103477.4,103237.6,103270,936.604,,82651.083,82731.562,82651.083,82729.925,0.0041010000000000005
1762437600,103269.9,103550,102660,102979.2,2223.353,,82728.244,82756.026,82452.6,82456.509,0.00359
1762438500,102979.2,103081.2,102702.4,102849.2,1087.147,,82452.83,82468.674,82408.022,82418.106,0.003306
1762439400,102849.3,102873.5,102150,102464.2,4262.655,,82417.205,82733.843,82382.904,82714.498,0.002824
1762440300,102464.1,102872.2,102001,102083.1,3512.355,,82710.957,82806.264,82696.055,82780.441,0.002418
1762441200,102083,102442.7,101860,102185.2,4844.074,,82791.277,82816.22,82532.617,82677.706,0.003036
1762442100,102185.1,102907.4,102074.1,102386,2524.758,,82678.84,82720.022,82642.808,82684.989,0.0032660000000000002
1762443000,102386.1,102417.9,101715,101764,3543.392,,82689.417,82777.34,82668.617,82702.575,0.003477
1762443900,101764.1,102196.1,101570.5,101981.6,5554.659,,82690.954,82767.221,82323.258,82767.221,0.004432
1762444800,101981.6,102367.9,101760,101763.3,2691.157,,82766.69,82885.731,82766.69,82810.508,0.005501
1762445700,101763.3,101886.7,101501.8,101764.3,3762.408,,82801.235,82816.833,82614.994,82635.293,0.0063
1762446600,101764.3,101764.3,100238.4,100557.4,9667.211,,82639.007,82949.371,82098.523,82098.523,0.006698999999999999
1762447500,100557.3,101134.4,100288.6,100830.6,5255.835,,82093.678,82211.581,82019.465,82211.581,0.007332
1762448400,100830.5,101456.3,100724.6,100933.5,3359.424,,82226.893,82469.794,82226.893,82469.794,0.007918
1762449300,100933.6,101462,100814,101391.6,1965.759,,82473.128,82605.085,82473.128,82560.8,0.008551999999999999
1762450200,101391.6,101545.2,101151.5,101316.4,1861.438,,82556.458,82590.021,82426.881,82434.216,0.009061999999999999
1762451100,101316.5,101958.9,101316.4,101762.2,2460.635,,82436.325,82531.468,82306.261,82506.154,0.009762999999999999
1762452000,101762.2,101762.2,101253.2,101351,1335.955,,82503.881,82511.762,82424.985,82442.665,0.01
1762452900,101350.1,101487.5,100870.8,101322.8,2620.372,,82442.774,82446.055,82143.233,82159.304,0.01
1762453800,101322.9,101798.1,101270.8,101627,1876.836,,82152.478,82233.3,82005.975,82005.975,0.01
1762454700,101627.1,102298,101593.9,101670,2292.693,,82004.855,82029.906,81851.752,81856.514,0.01
1762455600,101670,101908,101526.6,101896.2,2609.177,,81856.191,82483.002,81780.398,82436.755,0.01
1762456500,101896.2,101949,101573.4,101751.8,1000.521,,82434.689,82488.376,82410.062,82488.376,0.009600000000000001
1762457400,101751.8,101831.4,101170.3,101400.7,1250.941,,82492.288,82513.274,82423.859,82428.76,0.008674999999999999
1762458300,101400.6,101549.5,101140.9,101335.9,798.592,,82433.979,82446.714,82413.585,82416.144,0.008125
1762459200,101335.9,101599.6,101205,101249.9,756.313,,82417.106,82428.546,82409.396,82409.396,0.007726
1762460100,101249.5,101401.6,100991.9,101041.2,1071.34,,82411.891,82414.107,82311.241,82347.662,0.007313
1762461000,101041.3,101101.5,100590,100712.3,1557.514,,82359.66,82465.832,82352.303,82445.838,0.006749000000000001
1762461900,100712.3,101060.8,100644.5,100873.8,1373.857,,82465.444,82560.042,82448.339,82549.793,0.0068200000000000005
1762462800,100873.7,100978.7,100518.6,100572.5,1393.566,,82548.69,82564.698,82427.748,82427.748,0.006803
1762463700,100572.4,100850,100500,100831.5,901.206,,82428.313,82526.633,82420.836,82501.288,0.006861
1762464600,100831.6,101111.1,100776,100954.9,1031.973,,82501.014,82509.678,82371.213,82371.213,0.00712
